Описание;Неисправность
"""Всем привет. Ничего особенного — на последнем визите в сервис в 2024г, были обнаружены трещины на муфте кардана. Сказано — сделано. Приобрел: BMW 26111229360 — эластичная муфта 15000руб. BMW 26127521855 — промежуточная опора 13500руб BMW 26 11 7 523 708 — болты для эластички 3шт 450руб BMW 26117635643 — болты для эластички 3шт 1000руб BMW 26127536563 — гайки шестигранные для эластички 3шт 400руб Запчасти на фото: 26127521855 Запчасти на фото: 26111229360 Работы по замене проводились в сервисе BMW Classic + попросил прочистить все стоки панорамы. Спасибо большое за скорость! На месте у ребят оказалась новая эластичная муфта Феби — сравнили лоб в лоб с моей: все совпадает болт в болт, за исключением запиленного лого и партнамбера. Так что если кто планирует подобные работы — имейте в виду, единственное проверяйте что в коробке сразу. Мне предлагали тоже феби купить, но слава богу есть возможность купить оригинальные запчасти, не стал играть в лотерею и тратить время, так как феби это только упаковщик и в коробке может попасться все что угодно, про откровенную паль уже молчу. Пока все, катим дальше.Компания: bilstein group""";кривошипно-шатунный механизм
"""Всем привет! столкнулся с такой проблемой что без понятия какие должны быть показания на форсунках! Подскажите какие должны быть показания что бы была норма от и до… Вот мои показания, это на холодную машину измерял.""";система впрыска
"""Доброго времени суток, господа. Утро начинается не с кофе… Утром собирался на работу, прогрел машину, начал трогаться и тут *хруст*… Думал я что это лёд на дисках или ещё что(P.S. на улице все было во льду). Но не тут то было. Лопнула пружина передней подвески. Поехал на работу своим ходом и начал искать пружины… Пружины на полный привод в два раза дороже чем на задний. Может кто знает. Подойдут ли пружины с заднеприводной Е46 на полноприводную Е46 325xi. Дело в том, что по параметрам у них отличия: В длине на ЗП длина 330-340мм, а на ПП 310мм. И толщина витка на ЗП на миллиметр меньше. Судя по отличиям поставить то можно, но вот не аукнется мне это на какой-нибудь ямке? Либо может есть какие альтернативы?""";подвеска
"""Добрый день, Пару недель назад уехала моя красавица к новому владельцу. Лёгкой ему эксплуатации! Очень хорошие воспоминания остались. Отличная машинка и мне получилось её сделать ещё лучше. Из ремонтов было разве что замена задних ступичных. Остальное это ТО + мои хотелки: Lci фары Диски И хороший салон. Всем спасибо за внимание. Официально теперь я пешеход, но продолжаю двигаться на е91 325d жены. Тоже отличная тачка, а m57 просто песня. До скорого!""";неисправность отсутствует
"""2024 год, прошёл можно сказать плодотворно. Наконец таки занялся своим проектом, двигателем м30 с доработками. Подготовил гбц к сборке на новых комплектующих, плюс титановые тарелки, рокер-стопы, распредвал шрик. Установил на авто новые оригинальные молдинги лобового и заднего стекла. Как обычно, с другом спустили катер на воду, катались и веселились на полную катушку! Под конец года сломался телефон и все фото исчезли навсегда(.""";неисправность отсутствует
"""Добрый день, пока толком ничегошеньки не происходит, жду электрика что бы убрать сопли по проводке, что бы красота не пыхнула, нужно ещё подключить люк и много разной мелочи, а так же зашить приборную панель что бы завершить по ней тоже работы, это будет в отдельном посте. Ну а пока что закупают мелочи для проводки и сборки салона в виде кнопок поломаных, разъёмов и тп. Попались под восстановление По ним есть пару мыслей, но об этом позже У меня все на сегодня) всем мира и ровных дорог.""";электрооборудование
"""Добрый день всем. Не так давно произошла со мной неприятная ситуация, на шиномонтаже влетела в мое крыло шестерка ЛАДА. Ладно хоть в крыло, так как летела она в заносе мне прям в бочину 😬. Ну и конечно, изначально думал просто восстановить крыло, но потом друзья накинула, что может поставишь крылья от М3 look и я задумался 🤔 Так вот, может у кого есть крылья на продажу, может кто хотел давно продать их или дербанит машину перед продажей. Понимаю, что есть много вариантов на Авито, но хотел бы найти крылья уже после использования, что бы точно знать что они встанут идеально )""";неисправность отсутствует
Всем доброго времени суток, хотел по интересоваться подскажите пожалуйста как грамотно выставить фазы грм (зажигания) может есть мануал какой нибудь? Хотелось бы все собрать так как нужно.;неисправность отсутствует
"""Машинку забрал с немного битой мордой, критичного ничего нет. Начал шерстить Интернеты, и немного пода@ел от цен на машину этого возраста 🤦 Конечно внутренне сопротивление и несогласие есть, ибо понимаю что их достаточно пилят и можно что-то по адекватным ценам найти, как бы этим сейчас и занимаюсь. Итак для начала мне нужны: 1) Крыло левое переднее, если что можно даже рассмотреть пару, все зависит от адекватности продавцов. С жадными не общаюсь сразу. 2) Капот (предложили за 60 🤦, послал их сразу и далеко) 3) Фары. Если нормального ничего не найду куплю Китай и заменю линзы в будущем. Это все что в первую очередь. Может кто что продает за АДЕКВАТНУЮ цену, оверпрайс не интересен сразу. Или у кого ссылки есть на объявление. Заранее благодарю.""";неисправность отсутствует
Всем читающим доброго времени суток. И так, фишка найдена. Читая схемы подключения я запустался🤪 прошу совета, как подключить 11 кнопочный БК на машину 1992 года выпуска. Датчик наружной температуры планирую использовать от е39. Всех жду в комментариях. Потом эту статью изменю и будет как пособие))));неисправность отсутствует
"""Перестал закрывать закрывать замок т.е он закрывался но доводчик не работал и с кнопки не закрывался багажник к тоже же не работал свет в багажнике. Я сразу ищу информацию в интернете и все понятно, умер концевик в замке. Так же пишут не оригинал долго не живут по этому заказал оригинал, цена 24700 доставка 2 дня. Заменил сам не каких сложностей вообще. 15 минут дел))) всем ровных дорог!""";электрооборудование
"""Приехали колесики на лето, китайская ковка в стиле Apex. Качеством доволен, видом еще больше, ждём теплых дней и красивых фоточек😃""";неисправность отсутствует
"""Здравствуйте дорогие читатели. Календари с авто, это моя слабость. В гараже уже порядочная коллекция собралась. Просматривая ленту в новогодние праздники было достаточно много записей с подарками от равенола. Я конечно не пользуюсь продукцией этой фирмы, но меня заинтересовали календари, бочка-монетница и ярлык смены масла в виде канистры. Нашёл на официальном сайте артикулы и заказал. Всё про всё вышло меньше тысячи. Календарь на 2025 год. Есть и мото и авто… Ретро конечно мало… Вот его артикул — 469607301001 Ретро Монетница в виде бочки, достаточно оригинальная. Артикул — 151003200102000 И ярлык смены масла в виде канистры, достачно плотный картон, служить будет долго. Артикул — 151014500102RU Вот такие подарки я сам себе сделал. Может кто то также себе заказывал календари с автомобильной тематикой, поделитесь артикулом. Заранее благодарю. Всем огромное спасибо за внимание и до новых встреч.""";неисправность отсутствует
"""Всем привет ! Купил антенну. Заказал датчики : 36106798872 Машина 2012 года Подскажите знающие, подойдет ли антенна к датчикам или датчики в антенне ?""";неисправность отсутствует
"""Всем привет! Наступил тот момент, когда мы мы должны улетать на зимовку в Сочи. А это значит, что мы с женой снова увидим её новый автомобиль и наконец-то начнем его использовать по назначению, то есть ездить на нем 😉 Теперь по-порядку, но очень кратко. 👇 Мы собрали необходимые вещи на и отправили их в Сочи и спустя пару дней выехали сами. Сначала была дорога в аэропорт на такси Потом традиционный 4-х часовой перелет. И уже под вечер мы оказались в Сочи. 🌴 В Сочи мы решили не ехать на такси, а взять каршеринг, так как по пути из Адлера нужно было заехать в пару мест по делам. Приехав в квартиру в Сочи мы, даже не до конца разобрав вещи, спустились на паркинг для того, чтобы проверить как там наша m235i. Ведь она без движения стояла целых 5 недель. Оказалось, что аккум остался живым и нажав кнопку “start” мы услышали как двигатель отлично запустился 👍🏻. Конечно же мы не устояли и сразу поехали немного покататься по вечернему Сочи тем более курьер с нашим «ужином» был еще в пути.😁 И уже после нескольких кругов покатушек мы вернулись на паркинг, поднялись в квартиру, где нас ждал вкусный ужин от «Новикова» с бокалом красного вина и тостом «за приезд» 🍷😉. Ну и я не смог удержаться от того, чтобы не выложить фото погоды в Сочи в середине января. 😎 🌴 Всем удачи! ✊🏻""";неисправность отсутствует
"""Всем привет! В общем начался этот вой уже давно, сначала тихо потом громче и громче! Проявлялся вой только при нажатии на педаль газа на ходу, газ бросаешь и тишина. Замена масла в редукторе не помогла! Слили чуть масло, а там мелкая стружка в виде пыли. Начал искать редуктор и вообще разбираться что к чему. В общем стоит у меня 168 редуктор, как и у большинства. Говорят он не любит больших нагрузок и резких ускорений. Есть 188 редуктор, он более выносливый и больше размером. Но чтобы его поставить надо менять кардан и привода, не хочу это делать. В общем в долгих поисках нашел ремонтный, а их много. У продавца отзывы хорошие, да и тут у них уже покупал человек. Связался, договорились о цене, оплатил и мне его выслали тк. Шел долго из-за праздничных дней. Получил, внешний вид конечно так себе, но главное чтобы работал. Видно что резинки и подшипники все новые стоят. Поехал в профильный сервис отдал машину с редуктором. Потом звонят говорят нужна какая то гайка, она мол одноразовая, там в ней какой то герметик и машина должна постоять несколько часов после установки. Цена ее не велика пускай новую ставят. Итог забрал тачку и ахерел какая она тихая, я уже и забыл) Свой редуктор отправил продавцу на восстановление и мне вернут задаток) так что кому то он достанется)""";подвеска
"""Всем привет! Ну вот и настал момент замены ступичных подшипников, покупал их давненько (чтобы были прозапас), пригодились, загудел левый передний — заменил сразу пару. Не без сюрпризов конечно, они там так закисли, что вытащить их не получилось, срезали всё к hy#м. Ступичные брал ILJIN IJ133036 Привода новые оригинал: Правый 31607622884 Левый 31607622883 Гайки 2 шт. 33411133785 Болты 8 шт. 31206783065 Так же увидели течь шланга ГУР, замена на оригинал. Все оригинальный запчасти заказывал через Doroff89 Дорого, богато вышло…""";рулевое управление
"""Всем привет. Уже есть небольшой опыт по обслуживанию быстрых машин и таблетка счастья от вождения не нового, спортивного автомобиля — выбор грамотного сервиса. В этот раз, я для себя категорично решил, что буду машину обслуживать в Брянске, никаких поездок, эвакуаторов в столичные сервисы. Обзвонил своих друзей — товарищей у кого есть автомобили марки БМВ и поехал на компьютерную диагностику, и диагностику подвески в каждый автосервис. Удивило, что каждый раз, кто-то находил что-то новое, но никто к сожалению сразу полную картину по подвеске не дал. Как итог, машину буду делать в разных сервисах и в 4 этапа. 1 ЭТАП — Ремонт подвески Вроде все моменты выявили, все заказали, что-то есть в наличии, что-то нужно ждать. Из косяков, что улыбнуло- была перевернута верх ногами передняя левая пружина))) 2 ЭТАП — обслуживание двигателя. Не знаю когда в последний раз менялись вкладыши, поэтому будем их менять. Скажу сразу, энтузиазма в глазах Брянских ребят не было от слова совсем))) Также будет замена сопутствующих расходников. 3 ЭТАП — кузов. Машина не новая и требует внимания. Серьезных аварий не было, но были касательные по морде. К сожалению, когда восстанавливали машину, на всем экономили и под бампером нужно будет много поменять. Все заказали новое и придется некоторые элементы подождать. Также плохо собрали морду изначально, будем ее выставлять в зазор. 4 ЭТАП — детейлинг Полировка, химчистка, замена износившихся элементов по салону, перешивка руля. Надеюсь, что после восстановления, моя сложившаяся в голове мечта и ощущения от владения совпадут, и автомобиль задержится у меня надолго.""";подвеска
"""Ехал ехал загорелся аккумулятор, перестала работать печка, полез под капот увидел что отлетел шкиф компрессора кондиционера, решил обойти его, щас зима кондей не нужен, летом буду занимать компрессором . Стоял ремень 6рк1830 поставил в обход компрессора 6рк1670 Запчасти на фото: 6PK1670""";системы отопления и кондиционирования
"""Хочу дооснастить системой определения давления в шинах. Где-то читал, что на машинах с конца 14г антена приемник уже есть и она не нужна, но это я так понял на 3 серии. У меня машина сентябрь 2016г, f10 520d. X4X5E59400D950297 Кто знает нужна ли антена, я то уже купил такую""";неисправность отсутствует
"""Упал, сломался. Заказал на Озоне, заменил. Шильдик приклеил криво)) Всё равно оботрётся быстро.""";неисправность отсутствует
Проверка дионого моста, коллектора, регулятора напряжения генератора.;неисправность отсутствует
"""Недавно надо было сгонять в центр Далласа — по работе — там открыли новый офис нашей конторы, мне надо было заехать познакомиться с новым персоналом. Ну а какую машину выбрать для поездки на 40 миль по скоростному хайвею? Конечно Е60 М5. Туда доехал без проблем, правда на подъезде к парковке машина попросила масла — у меня как у любого заботливого владельца машины с S85 — литрушка всегда в багажнике! Долил прям в гараже. Вид из окна офиса. Паутина дорог! А вот на обратном пути меня ждал сюрприз по интереснее: Сначала выскочила вот такая штука Машина буквально сразу потеряла в подхвате, и стала сечь. И через минуту на панели загорелся чек: Пришлось сруливать на ближайшую заправку. Сканер в бардачке всегда есть, и как я и подозревал — пропуск на 4 цилиндре. К счастью, будучи опытным владельцем машин с этим мотором, у меня в бардачке реально всегда лежит запасная катушка. Номерок кому надо Менять катушку на горячущем моторе это то еще удовольствие, скажу я вам. Но делать нечего, домой охота )) Скинул воздушный фильтр, декоративную крышку катушек: Перчаток не было, обжег пальцы пару раз )). Но катушку поменял! Обнуляю ошибку, завожу мотор, и — красота. Равномерный рокот 10 цилиндров и никаких чеков на панели. Доехал до дома без проблем, время на диагностику и ремонт около 20 минут. Получается эта машина до сих пор не оставила меня застрявшим на обочине ))""";система зажигания
"""Машина досталась мне с одним ключом да и тот с дохлым аккумом. Купил ключи на eBay, 6 штук, не спрашивайте зачем столько, 2 из них достались бесплатно😀 Раз уж лезть в EWS, то делать нужно с запасом, тем более что однажды у меня застрял ключ в замке зажигания, я его вытащил пролив замок WD-40 и это помогло, замок слава Богу работает. Но лучше держать еще один комплект запрограммированных но не нарезанных ключей, чтобы в случае чего сменить замки и просто вырезать уже прописанный ключ AK90 я купил еще больше года назад на Amazon за 30$, руки до ключей дошли только сейчас, т.к. до сих пор салон немного разобран после свапа на механику. Не буду много расписывать о процессе, есть множество видео о том как пользоваться AK90, отмечу лишь некоторые моменты: ВАЖНО: после того как прочитали данные EWS обязательно сохраните дамп, программа сама должна предложить это сделать, рекомендую сохранить его на флешку или в облако, в случае неисправности блока по каким-либо причинам, можно будет купит блок на разборке и просто загрузить в него дамп 1) Лак смывается только с контактов микросхемы, не нужно тереть плату, видно что на контактах тонкий слой коричневого лака, я смывал его ацетоном и ватной палочкой Смываем лак до металла на контактах 2) На картинках в мануале к AK90 показано как крепить штекер, на нем есть стрелочка и это стрелочку нужно совместить с точкой на микросхеме, но это не правильно, на микросхеме все углы ровные, за исключением одного, он срезан, внутри штекера есть такой же срезанный угол, их мы и совмещаем 3) При чтении или записи блока крепко но без фанатизма прижимайте штекер к микросхеме, особенно это касается записи (именно при чтении и записи дампа после внесения изменений) 4) При записи ключей класть их нужно так как на фото Не забываем покрыть лаком контакты Запчасти на фото: AC366, 002578, 1001F""";неисправность отсутствует
"""С наступлением зимы я понял что в салоне холодно, не должно быть такого. Почитал форумы и пошел проверять и тут же нашел причину (по крайне мере я надеюсь) Сдохла доп помпа, как понял? Если нет струйки в расширительном бочке на вкл зажигании то вот и ответ 🤷🏻‍♂️ Заказал стелокс то что придет быстрее всего, а именно в течении 3х часов. Разбор, сбор не сложный просто скинуть короб воздушного фильтра. Поменял и о чудо струйка в расширительном бочке пошла. Отстояла машина пол дня на улице при -10 Через 5 минут после запуска начинает теплеть, стрелка температуры на середине синей зоны. Через 10-15 мин как выходит с синей зоны начинает дуть чуть горячим. По достижению рабочей температуры начинает слегка обжигать руку. Но в ноги при этом воздух дует еле еле. Надо похоже разбираться или с заслонками или где то очень хорошо сифонит мимо. Старая помпа стояла родная судя по будильникам (дата производства) Так что надо отдать ей должное 20 лет как ни как отработала""";системы отопления и кондиционирования
"""Состояние порогов, часть днища, ниша багажника правая сторона были в очень плохом состоянии! Ужасном даже. Когда-то на ней кто-то делал пороги, но сделали так, что слов нормальных не подобрать. Кто варит хороший метал к ржавому?! Не можете машину привести в нормальный вид, не берите ! Ходите пешком, на общественном транспорте ездите! Как можно так не любить свою машину ? Правый порог . Часть днища. Задний поддомкратник самопальный. Ниша багажника ( Латы новые) Латы латы Новый порог . На лечении 😊 После всех манипуляций обработка порога внутри, днища . Так же заливал пушсало+мовиль+трансформаторное масло+атф +отработка( все смешал, подогрел и в пороги). Дел еще много, привожу бавара в порядок!""";неисправность отсутствует
"""Приветствую, комрады! Немец огонь, что и говорить. Для меня, чтобы кататься самому и жену возить — самое то. Но вот затык: как только дело доходит до семейных выездов (а это, на секундочку, трое микрочелов, нянька, два родителя и собака), наша телега не вмещает весь стаф. Поднял третий ряд сидений, глянул… Микрочелы поместились, а вот про багаж можно благополучно забыть. Немного предыстории. Когда я искал машину, выбор стоял между вторым рестайлинговым Туарегом и всем остальным. Нашел однажды шикарного Туарега, все в нем огонь, но в последний момент заметил, что креплений для багажника на крыше нет. И это оказалось ключевым фактором — от покупки отказался. Как показала практика, не зря, ведь благодаря этому у меня теперь Икс!) Так вот, наличие креплений на Иксе открыло для меня новый уровень возможностей. Нужно что-то увезти? Пожалуйста, докупил багажник — и дело в шляпе. Провел быстрый ресерч местных досок объявлений. В итоге нашел оригинальный багажник б/у всего в 100 км от моего города, да еще и по адекватной цене. Списался с сербом, на следующий день уже полетел забирать. На месте все оказалось без обмана: деньги — багажник, багажник — на крышу. Все просто, без драмы и сюрпризов. Вот такая штука. Еще фото. P.S. На скорости 60+ км/ч багажник начинает свистеть. P.P.S. Поездка удалась: всех довез до пункта назначения и обратно. P.P.P.S. Бокс на крыше свистит как самолет, пришлось даже закрыть шторку панорамной крыши, чтобы не терять нервы. А вот с боксом в горах. Красота, правда?""";неисправность отсутствует
"""Зимние колеса Помыли до установки, подкинув датчики. С зимними дисками первый взгляд было не понятно, сейчас ок Само собой после был развал-схождение.""";неисправность отсутствует
"""Приветствую, комрады! Очередная запись об апгрейде моей машины. Когда впервые увидел эту приблуду в подлокотнике, подумал: «Ого, наверно, полезная штука!» Но реальность быстро поставила всё на свои места: эта штуковина просто занимала место. Убрать её меня сдерживала только необходимость найти накладку с артикулом 51169252106. История поиска затянулась. Когда-то обращался к местному дилеру, чтобы заказать резиновые уплотнители дверей, мои пришли в негодность. Ждал месяц… Пока катался, закончилась мочевина, и нужно было её срочно долить. Решил заехать к ОД и заодно спросить про накладку. И вот тут меня ждали два сюрприза: 1. AdBlue и накладка оказались дешевле, чем я думал. 2. Накладка была в наличии (!) и ждала меня всего в 10 минутах езды в соседнем филиале. Так что теперь я счастливый обладатель самой технологичной накладки от BMW и 10 литров фирменной мочевины. Ну и бонусом мне достался модный пакетик. 😎 Красивая упаковка. Вот такое наполнение. 4500 рублей за 10 литров фирменной мочевины. На следующий день я, наконец, решил “взорвать” подлокотник и избавиться от этого недоразумения. Было Не буду долго расписывать процесс демонтажа — всё очень просто. Если кому интересно, вот видео на ЮТАБ. Справится даже тот, кто впервые держит в руках инструмент. В итоге получил просторный отсек в подлокотнике без лишнего хлама. Стало""";неисправность отсутствует
"""Разгребал полку и нашёл лишние детали, которые больше не нужны — 2 тнвд — адаптеры для установки тормозов х5м — электро заслонки на выхлоп под штатные крепления с управлением с пульта полный набор — стеклоподъёмник левый водительский — новый передний кривой Рычаг под активную рейку лемфедер, отличие в сайлентблоке — Рычаг передний верхний правый с японки — накладка арки с х5м / м-пакета перед лево И интересует вопрос — кто хорошо делает гибридные Турбины на н63ту ? Где продают, что бы с гарантией были По х5 — его купил мой друг, но ремонтом, обслуживанием, доработкой машины занимаюсь я . Загнали к другу — навести лоск Заодно заменю накладки на жабры х5м, на тех облезла плёнка Так же сделали шумку одной двери на пробу — результат кайф, теперь ты закрываешь дверь солидного авто, а не кусок фольги, сочный хлопок, никакого звона пустого металла . Фото делал мало, по комбинация такая Внешняя накладка двери — жёсткая вибра 3мм — звукопоглотитель с теплоизоляцией Внутренняя перегородка — вибра 3мм жёсткая На дверную карту наклеена звукоизоляция Будем повторять на остальных дверях Штатной шумки Кот наплакал Промежуточный результат, после виброизоляции наклейка звукопоглотителя Закрытый объём для маленького динамика аудиосистемы . Поставить большего размера можно, но очень непросто""";неисправность отсутствует
"""Обычно как принято? Каталик выбил, труба прямоток, глушитель прямоток и по громче, по громче! Но у меня не все как у людей… Впрочем, по порядку. Во время подготовки к очередному этапу соревнований, еще на прошлом авто, было замечено и с помощью технических средств замерено, что при удалении ката даже штатный глушитель подмешивает фоновый низкочастотный гул в диапазоне 20-30 на довольно таки высоком уровне! Да, это кайф при езде, особенно с тапкой в пол, когда глушитель позволяет извергать из недр рядной шестерки такую музыку, от которой бензин в жилах делается высокооктановым и взрывоопасным))) Нет, это недопустимо для достоверного воспроизведения музыкального материала. Ведь для компенсации этого фона приходится задирать уровень сабвуфера. Да и бензин в жилах начинает плескаться когда это не нужно… Был куплен глушак от 550i для антитюнинга Значит, нужен тихий выхлоп. Но как получить тихий выхлоп, если турбина раздута, стоит даунпайп, а штатные резонаторы подобны гладкоствольному оружию или попросту дырке от бублика? Курение вопроса на просторах драйв2 не дало ничего, кроме пары отбитых видосов, где GT пердит на всю округу штатными банками от 535-й… Из школьного курса различных наук известно, что ламинарный поток с низкой скоростью не будет издавать лишнего шума, а значит, родные резонаторы необходимо оставить в покое, а дополнить систему выпуска лишь максимальной по сечению выхлопной трубой. Что у нас там самое-самое? Правильно, 550i с двумя турбинами. От нее и было решено внедрить выхлоп. Вот он, красавчик, ждет своего часа Далее были куплены тепловые экраны для правой стороны (весьма редка штука, как выяснилось), резиновые подвесы с кронштейнами и губа заднего бампера от 550 (тоже редкий и дорогой кусок АБС пластика) Правый экран, которого нигде нет Дьявол кроется в мелочах Результат удовлетворяет глаз и слух Что получил по итогу: прикольный вид, лишний вес ( двойной глушитель с трубами весит килограмм 60 наверное) и абсолютнейшую тишину на выхлопе. Повторю, абсолютно тихо. Рецепт: родные резонаторы (оба обязательно) раздвоенная труба от 550 сразу после второго резонатора, все кронштейны обязательно и заслонки в глушителях в положении «открыто»""";неисправность отсутствует
"""Появился внеочередной вопрос по печке, который опять поставил меня в тупик. На днях начал уходить антифриз, ну, вернее, заметил, что уходит. Посмотрели, увидели капли под термостатом. Пока ехал в сервис, заметил, что печка перестала греть как раньше, подумал, может антифриз ушел. По приезду посмотрел — уровень, ну мб завоздушилось. Параллельно включил циркуляцию воздуха только в салоне (заслонки получаются закрыты, с улицы воздух не берет) и стало тепло как раньше. Поменял термостат, прокачали систему, ехал домой и опять прикол с печкой — то вроде бы норм, то опять прохладно. Включаешь циркуляцию только в салоне — норм. Приехал к дому, скинул фишку с клапанов печки — ничего не поменялось. Поставил обратно, включил циркуляцию только в салоне, поставил 32 и пошла жара. В чем прикол? Не могу понять.""";системы отопления и кондиционирования
